"species","min_lat","max_lat","lat_range"
"Phytophthora pistaciae",32.57503286,32.57503286,0
"Phytophthora plurivora",23.7539928,68.75015572,44.99616292
"Phytophthora pluvialis",41.81113557,45.6795472,3.86841163
"Phytophthora polonica",45.08047631,52.12759564,7.04711933
"Phytophthora porri",25.73288704,61.36206324,35.6291762
"Phytophthora primulae",35.3813488,55.98125296,20.59990416
"Phytophthora pseudocryptogea",25.73288704,45.6795472,19.94666016
"Phytophthora pseudolactucae",37.59230135,37.59230135,0
"Phytophthora pseudorosacearum",25.73288704,25.73288704,0
"Phytophthora pseudosyringae",35.3813488,62.77966519,27.39831639
"Phytophthora pseudotsugae",35.3813488,45.6795472,10.2981984
"Phytophthora psychrophila",38.6651,54.12387156,15.45877156
"Phytophthora quercetorum",39.63,45.6795472,6.0495472
"Phytophthora quercina",38.6651,62.77966519,24.11456519
"Phytophthora quininea",9.15280381,9.15280381,0
"Phytophthora ramorum",5.69109849,68.75015572,63.05905723
"Phytophthora rhizophorae",10.78777702,10.78777702,0
"Phytophthora richardiae",10.78777702,54.12387156,43.33609454
"Phytophthora riparia",32.26,62.77966519,30.51966519
"Phytophthora rosacearum",25.73288704,62.77966519,37.04677815
"Phytophthora rubi",25.73288704,68.75015572,43.01726868
"Phytophthora sansomeana",22.88578198,61.36206324,38.47628126
"Phytophthora siskiyouensis",42.0312,54.12387156,12.09267156
"Phytophthora sojae",2.21505455,61.96285909,59.74780454
"Phytophthora stricta",45.6795472,45.6795472,0
"Phytophthora syringae",9.15280381,62.77966519,53.62686138
"Phytophthora tentaculata",36.56176538,54.12387156,17.56210618
"Phytophthora terminalis",51.3063222,54.12387156,2.81754936
"Phytophthora thermophila",25.73288704,37.663,11.93011296
"Phytophthora trifolii",45.6795472,45.6795472,0
"Phytophthora tropicalis",2.21505455,54.12387156,51.90881701
"Phytophthora tubulina",47.58549439,47.58549439,0
"Phytophthora tyrrhenica",42.79662849,42.79662849,0
"Phytophthora uliginosa",51.10698181,52.12759564,1.02061383
"Phytophthora uniformis",40.24448698,68.75015572,28.50566874
"Phytophthora versiformis",25.73288704,25.73288704,0
"Phytophthora vignae",6.27565408,45.6795472,39.40389312
"Phytophthora virginiana",45.6795472,45.6795472,0
"Phytophthora vulcanica",42.79662849,42.79662849,0
"Phytophthora x alni",39.59550671,68.75015572,29.15464901
"Phytophthora x andina",1.42381613,23.94753724,22.52372111
"Phytophthora x heterohybrida",23.7539928,23.7539928,0
"Phytophthora x incrassata",23.7539928,23.7539928,0
"Phytophthora x multiformis",40.24448698,62.77966519,22.53517821
"Phytophthora x pelgrandis",46.8294165,51.10698181,4.27756531
