species_name,phylo_clade,phylo_sub_clade,date,papillate,proliferation,caduceus,chlamydospores,hyphal_swelling,oospores,ho_he_s,oospore_wall_index,gr_at_opt,temp_min,temp_opt
Phytophthora mexicana,2,2b,1923,P,NP,NC,CH,NHS,O,HE,0.42,#N/A,10,27.5
Phytophthora multivesiculata,2,2e,1998,SP,P,NC,NCH,HS,O,HO,0.45,5.5,7.5,24
Phytophthora multivora,2,2c,2009,SP,NP,NC,NCH,HS,O,HO,0.52,7.5,7.5,25
Phytophthora occultans,2,2a,2015,SP,NP,C,NCH,NHS,O,HO,0.48,10,11,25
Phytophthora pachypleura,2,2c,2014,SP,NP,NC,NCH,NHS,O,HO,0.71,7,7.5,25
Phytophthora pini,2,2c,1925,SP,NP,NC,NCH,HS,O,HO,0.34,9.2,7.5,25
Phytophthora plurivora,2,2c,2009,SP,NP,NC,NCH,NHS,O,HO,0.3,8.5,7.5,25
Phytophthora siskiyouensis,2,2b,2007,SP,NP,C,NCH,HS,O,HO,0.33,7.2,4,23
Phytophthora terminalis,2,2a,2015,SP,NP,C,NCH,NHS,O,HO,0.21,7.5,11,26
Phytophthora tropicalis,2,2b,2001,P,NP,C,CH,NHS,O,HE,0.23,#N/A,10,28
Phytophthora ilicis,3,3,1957,SP,NP,C,CH,NHS,O,HO,0.2,3.2,5,17
Phytophthora nemorosa,3,3,2003,SP,NP,C,NCH,HS,O,HO,0.39,#N/A,3,15
Phytophthora pluvialis,3,3,2013,SP,NP,C,NCH,HS,O,HO,0.47,1.4,4,17
Phytophthora pseudosyringae,3,3,2003,SP,NP,C,NCH,HS,O,HO,0.29,4.6,4,21
Phytophthora psychrophila,3,3,2002,SP,NP,C,CH,NHS,O,HO,0.42,3.5,3,17
Phytophthora alticola,4,4,2007,P,NP,NC,NCH,HS,O,HO,0.51,9,12,25
Phytophthora arenaria,4,4,2011,P,NP,NC,NCH,HS,O,HO,0.5,7,12,29
Phytophthora boodjera,4,4,2015,P,NP,NC,NCH,HS,O,HO,0.47,10,12,27.5
Phytophthora litchii,4,4,2007,P,P,NC,NCH,NHS,O,HO,0.4,#N/A,#N/A,#N/A
Phytophthora megakarya,4,4,1979,P,NP,C,CH,NHS,O,HE,0.45,#N/A,9,24
Phytophthora palmivora,4,4,1919,P,NP,C,CH,HS,O,HE,0.42,7,11,27
Phytophthora quercetorum,4,4,2008,P,NP,NC,CH,NHS,O,HO,0.39,7.3,7,22
Phytophthora agathidicida,5,5,2015,P,NP,NC,NCH,HS,O,HO,0.64,5.7,6,21.5
Phytophthora castaneae,5,5,1976,P,NP,NC,CH,NHS,O,HO,0.67,5.8,6,22.5
Phytophthora cocois,5,5,2015,P,NP,NC,NCH,NHS,O,HO,0.66,5.8,10,22
Phytophthora heveae,5,5,1929,P,NP,NC,NCH,HS,O,HO,0.53,5.8,10,22.5
Phytophthora 'paludosa',6,6b,2011,NP,P,NC,NCH,HS,O,HO,0.44,6.3,5,25
Phytophthora 'personii',6,6a,NA,NP,P,NC,CH,HS,NO,S,NA,13,4,25
Phytophthora 'raspberry',6,6b,NA,NP,P,NC,NCH,HS,O,HO,#N/A,7,8,28
Phytophthora 'walnut',6,6a,NA,NP,P,NC,NCH,NHS,NO,S,NA,14,5,32
Phytophthora amnicola,6,6b,2012,NP,P,NC,NCH,HS,NO,S,NA,6.5,7.5,27.5
Phytophthora asparagi,6,6c,2012,NP,P,NC,NCH,NHS,O,HO,0.49,11,5,25
Phytophthora balyanboodja,6,6a,2018,NP,P,NC,NCH,NHS,NO,S,NA,14,7.5,32.5
Phytophthora bilorbang,6,6b,2012,NP,P,NC,NCH,HS,O,HO,0.42,4,5,25
Phytophthora borealis,6,6b,2012,NP,P,NC,NCH,NHS,O,HE,0.37,3.1,2,17
Phytophthora chlamydospora,6,6b,2015,NP,P,NC,CH,HS,NO,S,NA,4.5,5,27
Phytophthora condilina,6,6a,2018,NP,P,NC,CH,HS,O,HO,0.44,10,5,25
Phytophthora cooljarloo,6,6a,2018,NP,P,NC,NCH,HS,O,HO,0.4,11,5,25
Phytophthora crassamura,6,6b,2015,NP,P,NC,NCH,HS,O,HO,0.57,7.1,5,25
Phytophthora fluvialis,6,6b,2011,NP,P,NC,NCH,HS,NO,S,NA,6,10,32
Phytophthora gemini,6,6a,2011,NP,P,NC,NCH,HS,NO,S,NA,14,4,28
Phytophthora gibbosa,6,6b,2011,NP,P,NC,NCH,HS,O,HO,0.49,6.3,7.5,30
Phytophthora gonapodyides,6,6b,1927,NP,P,NC,NCH,HS,O,HE,0.28,3.5,3,25
Phytophthora gregata,6,6b,2011,NP,P,NC,NCH,HS,O,HO,0.42,6.5,7.5,25
Phytophthora humicola,6,6a,1985,NP,P,NC,CH,HS,O,HO,0.57,11,5,25
Phytophthora inundata,6,6a,2003,NP,P,NC,CH,HS,O,HE/HO,0.64,12.5,4,25
Phytophthora kwongonina,6,6a,2018,NP,P,NC,NCH,HS,O,HO,0.6,13.5,5,29
Phytophthora lacustris,6,6b,2013,NP,P,NC,NCH,NHS,NO,S,NA,3.4,2,28
Phytophthora litoralis,6,6b,2011,NP,P,NC,CH,HS,NO,S,NA,4.5,10,30
Phytophthora megasperma,6,6b,1931,NP,P,NC,NCH,HS,O,HO,0.41,6,4,25
Phytophthora mississippiae,6,6b,2013,NP,P,NC,NCH,HS,O,HE,0.55,4,5,25
Phytophthora moyootj,6,6b,2014,NP,P,NC,NCH,NHS,NO,S,NA,3,10,27.5
Phytophthora ornamentata,6,6b,2015,NP,P,NC,NCH,HS,O,HO,0.63,6,5,25
Phytophthora pinifolia,6,6b,2008,NP,NP,C,NCH,HS,NO,S,NA,1.2,10,25
Phytophthora pseudorosacearum,6,6a,2018,NP,P,NC,CH,HS,O,HO,0.41,12,5,30
Phytophthora riparia,6,6b,2012,NP,P,NC,NCH,NHS,NO,S,NA,2.5,4,30
Phytophthora rosacearum,6,6a,2009,NP,P,NC,NCH,HS,O,HO,0.33,12,5,30
Phytophthora thermophila,6,6b,2011,NP,P,NC,CH,HS,O,HO,0.46,5,10,32.5
Phytophthora x stagnum,6,6b,2014,P,P,NC,CH,HS,O,HE,0.49,4,5,25
Phytophthora asiatica,7,7b,2014,NP,P,NC,NCH,HS,O,HO,0.43,5,7.5,28
Phytophthora attenuata,7,7a,2017,NP,P,NC,NCH,NHS,O,HO,0.41,4.2,5,25
Phytophthora cajani,7,7b,1978,NP,P,NC,NCH,HS,O,HO,0.21,#N/A,9,28
Phytophthora cambivora,7,7a,1927,NP,P,NC,NCH,HS,O,HE,0.4,7,4,23
Phytophthora cinnamomi,7,7c,1922,NP,P,NC,CH,HS,O,HE,0.34,7,6,28
Phytophthora europaea,7,7a,2002,NP,P,NC,NCH,NHS,O,HO,0.38,4.8,3,25
Phytophthora flexuosa,7,7a,2017,NP,P,NC,NCH,HS,O,HO,0.47,4.7,5,25
Phytophthora formosa,7,7a,2017,NP,P,NC,NCH,NHS,O,HO,0.43,5,5,25
Phytophthora fragariae,7,7a,1940,NP,P,NC,NCH,HS,O,HO,0.38,1.9,4,20
Phytophthora fragariaefolia,7,7d,2014,NP,P,NC,CH,HS,O,HO,0.49,4.5,7,27
Phytophthora intricata,7,7a,2017,NP,P,NC,NCH,HS,O,HO,0.45,5.5,5,25
Phytophthora melonis,7,7b,1976,NP,P,NC,NCH,HS,O,HE,0.39,#N/A,9,28
Phytophthora nagaii,7,7d,2014,NP,P,NC,CH,HS,O,HO,0.44,4.4,5,28
Phytophthora niederhauserii,7,7b,2014,NP,P,NC,NCH,HS,O,HE,0.66,14,7.5,30
Phytophthora parvispora,7,7c,2013,NP,P,NC,CH,HS,O,HE,0.39,13,12,27.5
Phytophthora pisi,7,7b,2013,NP,P,NC,NCH,HS,O,HO,0.46,4.3,4,25
Phytophthora pistaciae,7,7b,2001,NP,P,NC,NCH,HS,O,HO,0.38,3,5,30
Phytophthora rubi,7,7a,2007,NP,P,NC,NCH,HS,O,HO,0.33,3,3,20
Phytophthora sojae,7,7b,1958,NP,P,NC,CH,HS,O,HO,0.31,#N/A,10,25
Phytophthora tyrrhenica,7,7a,2017,NP,P,NC,NCH,HS,O,HO,0.41,1.5,5,20
Phytophthora uliginosa,7,7a,2002,NP,P,NC,NCH,HS,O,HO,0.49,1.2,4,20
Phytophthora uniformis,7,7a,2004,NP,P,NC,NCH,NHS,O,HO,0.39,6.7,5,25
Phytophthora vignae,7,7b,1957,NP,P,NC,CH,HS,O,HO,0.54,#N/A,10,30
Phytophthora vulcanica,7,7a,2017,NP,P,NC,NCH,HS,O,HO,0.4,0.7,5,15
Phytophthora x alni,7,7a,2004,NP,P,NC,NCH,NHS,O,HO,0.39,6.2,3,20
Phytophthora x heterohybrida,7,7a,2016,NP,P,C,NCH,HS,O,HE,0.43,7,5,25
Phytophthora x incrassata,7,7a,2016,NP,P,NC,CH,HS,O,HE,0.41,6,5,20
Phytophthora x multiformis,7,7a,2004,NP,P,NC,NCH,NHS,O,HO,0.4,6.4,3,20
Phytophthora 'castitis',8,8b,2013,SP,NP,NC,CH,HS,NO,S,NA,2.1,0,20
Phytophthora 'kelmania',8,8a,NA,NP,P,NC,NCH,HS,O,HE,0.4,7,3,25
Phytophthora 'parsley',8,8b,2013,NP,NP,NC,NCH,HS,O,HO,0.21,2,0,18
Phytophthora austrocedri,8,8d,2007,SP,NP,NC,NCH,HS,O,HO,0.26,1.5,2,15
Phytophthora brassicae,8,8b,2002,SP,NP,C,NCH,HS,O,HO,0.22,2.3,2,21
Phytophthora cichorii,8,8b,2013,SP,NP,NC,NCH,HS,O,HE,0.24,1.1,0,17
Phytophthora cryptogea,8,8a,1919,NP,P,NC,NCH,HS,O,HE,0.54,6.5,3,25
Phytophthora dauci,8,8b,2013,SP,NP,NC,CH,HS,O,HO,0.24,1,0,15
Phytophthora drechsleri,8,8a,1931,NP,P,NC,NCH,HS,O,HE,0.51,#N/A,3,30
Phytophthora erythroseptica,8,8a,1913,NP,P,NC,NCH,HS,O,HO,0.52,6.3,3,25
Phytophthora foliorum,8,8c,2006,SP,P,C,NCH,NHS,O,HO,0.32,3.1,3,20
Phytophthora hibernalis,8,8c,1925,SP,NP,C,NCH,NHS,O,HO,0.55,#N/A,4,20
Phytophthora lactucae,8,8b,2013,SP,NP,NC,CH,HS,O,HO,0.25,1.5,0,19
Phytophthora lateralis,8,8c,1942,NP,P,NC,CH,NHS,O,HO,0.66,#N/A,3,21
Phytophthora medicaginis,8,8a,1991,NP,P,NC,CH,HS,O,HO,0.56,4.5,5,27.5
Phytophthora obscura,8,8d,2012,SP,NP,NC,NCH,HS,O,HO,0.41,4,2,23
Phytophthora porri,8,8b,1931,SP,NP,NC,CH,HS,O,HO,0.2,#N/A,3,17
Phytophthora primulae,8,8b,1952,NP,NP,NC,NCH,HS,O,HO,0.22,#N/A,3,20
Phytophthora pseudocryptogea,8,8a,2015,NP,P,NC,NCH,HS,O,HE,0.35,6.5,3,25
Phytophthora pseudolactucae,8,8b,2015,SP,NP,NC,CH,HS,O,HO,0.45,3.2,3,22
Phytophthora ramorum,8,8c,2001,SP,NP,C,CH,NHS,O,HE,0.21,2.8,2,20
Phytophthora sansomeana,8,8a,2009,NP,P,NC,NCH,HS,O,HO,0.24,7,3,27
Phytophthora syringae,8,8d,1909,SP,NP,NC,NCH,HS,O,HO,0.25,4.2,3,20
Phytophthora trifolii,8,8a,1991,NP,P,NC,NCH,HS,O,HO,0.23,3,7,22
Phytophthora 'prodigiosa',9,9b,2017,NP,P,NC,CH,HS,NO,S,NA,6,12,32
Phytophthora aquimorbida,9,9a,2012,NP,P,NC,CH,HS,O,HO,0.51,5,7.5,30
Phytophthora captiosa,9,9d,2006,NP,P,NC,NCH,NHS,O,HO,0.28,5.3,2,22
Phytophthora chrysanthemi,9,9a,2011,NP,P,NC,CH,HS,O,HO,0.55,4.1,5,30
Phytophthora constricta,9,9d,2011,NP,P,NC,NCH,NHS,O,HO,0.36,6,5,22
Phytophthora estuarina,9,9a,2016,SP,P,NC,NCH,HS,NO,S,NA,12,5,30
Phytophthora fallax,9,9d,2006,NP,P,NC,CH,NHS,O,HO,0.33,3.1,2,20
Phytophthora hydrogena,9,9a,2014,NP,P,NC,NCH,HS,O,HE,0.26,7,10,30
Phytophthora hydropathica,9,9a,2010,NP,P,NC,CH,HS,O,HE,0.31,14,7.5,30
Phytophthora insolita,9,9b,1980,NP,P,NC,NCH,HS,O,HO,0.38,#N/A,9,32
Phytophthora irrigata,9,9a,2008,NP,P,NC,NCH,NHS,O,HE,0.36,12,7.5,30
