"species_name","phylo_clade","years_known","proliferation","caduceus","oospore_wall_index","chlamydospores","hyphal_swelling","root_disease","foliar_disease","oospores","gr_at_opt","temp_opt","temp_min","impact_geographic_extent","impact_host_range","impact_lat_max","n_trials"
"Phytophthora castaneae","5",43,0,0,0.67,1,0,1,0,1,5.8,22.5,6,3,1,37.59230135,178
"Phytophthora cocois","5",4,0,0,0.66,0,0,0,1,1,5.8,22,10,1,2,45.6795472,178
"Phytophthora heveae","5",90,0,0,0.53,0,1,0,1,1,5.8,22.5,10,11,11,45.6795472,178
"Phytophthora 'paludosa'","6",8,1,0,0.44,0,1,NA,NA,1,6.3,25,5,NA,NA,NA,178
"Phytophthora 'personii'","6",NA,1,0,NA,1,1,NA,NA,0,13,25,4,2,1,45.8839523,178
"Phytophthora 'raspberry'","6",NA,1,0,NA,0,1,NA,NA,1,7,28,8,4,NA,51.10698181,178
"Phytophthora 'walnut'","6",NA,1,0,NA,0,0,NA,NA,0,14,32,5,1,NA,50.1972,178
"Phytophthora amnicola","6",7,1,0,NA,0,1,1,0,0,6.5,27.5,7.5,2,0,52.1007899,178
"Phytophthora asparagi","6",7,1,0,0.49,0,0,1,1,1,11,25,5,3,2,54.12387156,178
"Phytophthora balyanboodja","6",1,1,0,NA,0,0,NA,NA,0,14,32.5,7.5,NA,0,25.73288704,178
"Phytophthora bilorbang","6",7,1,0,0.42,0,1,1,0,1,4,25,5,3,1,62.77966519,178
"Phytophthora borealis","6",7,1,0,0.37,0,0,0,0,1,3.1,17,2,1,0,45.6795472,178
"Phytophthora chlamydospora","6",4,1,0,NA,1,1,1,0,0,4.5,27,5,8,6,57.12995178,178
"Phytophthora condilina","6",1,1,0,0.44,1,1,NA,NA,1,10,25,5,NA,1,25.73288704,178
"Phytophthora cooljarloo","6",1,1,0,0.4,0,1,NA,NA,1,11,25,5,NA,NA,25.73288704,178
"Phytophthora crassamura","6",4,1,0,0.57,0,1,1,0,1,7.1,25,5,1,2,45.6795472,178
"Phytophthora fluvialis","6",8,1,0,NA,0,1,0,0,0,6,32,10,1,0,61.36206324,178
"Phytophthora gemini","6",8,1,0,NA,0,1,0,1,0,14,28,4,1,1,62.77966519,178
"Phytophthora gibbosa","6",8,1,0,0.49,0,1,0,0,1,6.3,30,7.5,1,3,25.73288704,178
"Phytophthora gonapodyides","6",92,1,0,0.28,0,1,1,0,1,3.5,25,3,21,11,69.6489,178
"Phytophthora gregata","6",8,1,0,0.42,0,1,0,0,1,6.5,25,7.5,5,4,62.77966519,178
"Phytophthora humicola","6",34,1,0,0.57,1,1,1,0,1,11,25,5,2,3,42.79662849,178
"Phytophthora inundata","6",16,1,0,0.64,1,1,1,0,1,12.5,25,4,12,4,68.75015572,178
"Phytophthora kwongonina","6",1,1,0,0.6,0,1,NA,NA,1,13.5,29,5,NA,NA,25.73288704,178
"Phytophthora lacustris","6",6,1,0,NA,0,0,1,0,0,3.4,28,2,17,4,69.5256,178
"Phytophthora litoralis","6",8,1,0,NA,1,1,0,0,0,4.5,30,10,1,3,25.73288704,178
"Phytophthora megasperma","6",88,1,0,0.41,0,1,1,0,1,6,25,4,27,22,68.75015572,178
"Phytophthora mississippiae","6",6,1,0,0.55,0,1,0,0,1,4,25,5,2,0,53.1754487,178
"Phytophthora moyootj","6",5,1,0,NA,0,0,0,0,0,3,27.5,10,1,NA,61.96285909,178
"Phytophthora ornamentata","6",4,1,0,0.63,0,1,1,0,1,6,25,5,1,1,42.79662849,178
"Phytophthora pinifolia","6",11,0,1,NA,0,1,0,1,0,1.2,25,10,2,1,37.73070989,178
"Phytophthora pseudorosacearum","6",1,1,0,0.41,1,1,NA,NA,1,12,30,5,NA,NA,25.73288704,178
"Phytophthora riparia","6",7,1,0,NA,0,0,0,0,0,2.5,30,4,2,0,62.77966519,178
"Phytophthora rosacearum","6",10,1,0,0.33,0,1,1,0,1,12,30,5,5,2,62.77966519,178
"Phytophthora thermophila","6",8,1,0,0.46,1,1,0,0,1,5,32.5,10,1,2,37.663,178
"Phytophthora x stagnum","6",5,1,0,0.49,1,1,NA,NA,1,4,25,5,NA,NA,NA,178
"Phytophthora asiatica","7",5,1,0,0.43,0,1,0,1,1,5,28,7.5,1,1,37.59230135,178
"Phytophthora attenuata","7",2,1,0,0.41,0,0,1,0,1,4.2,25,5,1,2,24.5059,178
"Phytophthora cajani","7",41,1,0,0.21,0,1,0,1,1,NA,28,9,1,1,22.88578198,178
"Phytophthora cambivora","7",92,1,0,0.4,0,1,1,0,1,7,23,4,42,19,68.75015572,178
"Phytophthora cinnamomi","7",97,1,0,0.34,1,1,1,0,1,7,28,6,88,90,80.50857913,178
"Phytophthora europaea","7",17,1,0,0.38,0,0,1,0,1,4.8,25,3,5,1,51.10698181,178
"Phytophthora flexuosa","7",2,1,0,0.47,0,1,1,0,1,4.7,25,5,1,1,24.5058,178
"Phytophthora formosa","7",2,1,0,0.43,0,0,1,0,1,5,25,5,1,2,24.7649,178
"Phytophthora fragariae","7",79,1,0,0.38,0,1,1,0,1,1.9,20,4,33,1,68.75015572,178
"Phytophthora fragariaefolia","7",5,1,0,0.49,1,1,0,1,1,4.5,27,7,1,1,37.59230135,178
"Phytophthora intricata","7",2,1,0,0.45,0,1,1,0,1,5.5,25,5,1,1,24.7649,178
"Phytophthora melonis","7",43,1,0,0.39,0,1,1,1,1,NA,28,9,7,2,42.79662849,178
"Phytophthora nagaii","7",5,1,0,0.44,1,1,0,1,1,4.4,28,5,1,1,37.59230135,178
"Phytophthora niederhauserii","7",5,1,0,0.66,0,1,1,1,1,14,30,7.5,10,25,68.75015572,178
"Phytophthora parvispora","7",6,1,0,0.39,1,1,1,0,1,13,27.5,12,4,5,51.10698181,178
"Phytophthora pisi","7",6,1,0,0.46,0,1,1,0,1,4.3,25,4,1,NA,62.77966519,178
"Phytophthora pistaciae","7",18,1,0,0.38,0,1,1,0,1,3,30,5,1,1,32.57503286,178
"Phytophthora rubi","7",12,1,0,0.33,0,1,1,0,1,3,20,3,19,1,68.75015572,178
"Phytophthora sojae","7",61,1,0,0.31,1,1,1,0,1,NA,25,10,22,6,61.96285909,178
"Phytophthora tyrrhenica","7",2,1,0,0.41,0,1,1,0,1,1.5,20,5,NA,NA,42.79662849,178
"Phytophthora uliginosa","7",17,1,0,0.49,0,1,1,0,1,1.2,20,4,2,1,52.12759564,178
"Phytophthora uniformis","7",15,1,0,0.39,0,0,1,0,1,6.7,25,5,8,1,68.75015572,178
"Phytophthora vignae","7",62,1,0,0.54,1,1,1,1,1,NA,30,10,10,2,45.6795472,178
"Phytophthora vulcanica","7",2,1,0,0.4,0,1,1,0,1,0.7,15,5,NA,NA,42.79662849,178
